Country,Name,Last,High,Low,Chg.,Chg%,Date/Time
United States,Dow Jones,38111.32,38386.81,38041.26,128.08,0.34,2024-04-15 11:50:48
United States,S&P 500,5141.65,5169.75,5124.34,18.24,0.36,2024-04-15 11:54:59
United States,Nasdaq,16198.02,16295.27,16144.75,22.92,0.14,2024-04-15 11:54:58
United States,Small Cap 2000,1997.45,2019.55,1985.3,-5.72,-0.29,2024-04-15 11:54:59
United States,S&P 500 VIX,17.04,17.73,16.26,-0.27,-1.56,2024-04-15 11:54:46
Canada,S&P/TSX,21885.75,22025.04,21822.05,-14.24,-0.07,2024-04-15 11:54:46
Brazil,Bovespa,126061.0,126250.0,125641.0,115.0,0.09,2024-04-15 11:39:30
Mexico,S&P/BMV IPC,56459.29,56709.12,56382.37,-106.63,-0.19,2024-04-15 11:34:00
,MSCI World,3356.58,3374.53,3347.29,5.57,0.17,2024-04-15 11:55:00
Germany,DAX,18017.5,18195.15,17972.05,113.35,0.63,2024-04-15 11:47:22
United Kingdom,FTSE 100,7966.74,8011.18,7949.0,-28.84,-0.36,2024-04-15 11:34:58
France,CAC 40,8045.11,8126.38,8028.84,34.28,0.43,2024-04-15 11:35:45
Euro Zone,Euro Stoxx 50,4983.65,5035.45,4972.05,28.64,0.58,2024-04-15 11:35:00
Netherlands,AEX,884.07,890.58,881.62,0.62,0.07,2024-04-15 11:35:45
Spain,IBEX 35,10687.2,10750.2,10660.2,1.2,0.01,2024-04-15 11:35:00
Italy,FTSE MIB,33938.7,34285.01,33890.48,174.55,0.52,2024-04-15 11:35:00
Switzerland,SMI,11398.1,11465.2,11374.1,18.52,0.16,2024-04-15 11:35:00
Portugal,PSI,6268.88,6345.71,6263.85,-68.55,-1.08,2024-04-15 11:35:45
Belgium,BEL 20,3852.2,3879.8,3846.1,2.8,0.07,2024-04-15 11:30:00
Austria,ATX,3539.24,3572.46,3536.04,-15.58,-0.44,2024-04-15 11:35:00
Sweden,OMXS30,2523.4,2548.28,2517.25,16.4,0.65,2024-04-15 11:29:59
Denmark,OMXC25,1911.22,1921.99,1908.53,5.28,0.28,2024-04-15 11:00:00
Russia,MOEX,3474.68,3476.98,3454.06,18.44,0.53,2024-04-15 11:40:00
Russia,RTSI,1167.62,1170.51,1161.36,2.09,0.18,2024-04-15 11:40:00
Poland,WIG20,2453.31,2475.35,2447.33,7.15,0.29,2024-04-15 11:15:00
Hungary,Budapest SE,67289.07,67866.83,67155.52,84.0,0.12,
TÃ¼rkiye,BIST 100,9679.8,9823.53,9679.8,-134.39,-1.37,2024-04-15 11:09:59
Israel,TA 35,1914.43,1968.33,1911.98,-23.75,-1.23,2024-04-15 10:24:59
Saudi Arabia,Tadawul All Share,12708.34,12812.13,12640.44,41.44,0.33,2024-04-15 08:15:59
Japan,Nikkei 225,39209.5,39214.5,38816.5,-357.5,-0.9,2024-04-15 01:59:59
Australia,S&P/ASX 200,7752.5,7788.9,7735.2,-35.6,-0.46,2024-04-15 02:04:59
New Zealand,DJ New Zealand,326.91,327.46,323.43,-0.48,-0.15,2024-04-15 11:30:00
China,Shanghai,3057.38,3066.94,2995.54,37.9,1.26,2024-04-15 03:59:33
China,SZSE Component,9369.7,9407.07,9189.96,141.47,1.53,2024-04-15 03:44:33
China,China A50,12212.75,12224.0,11894.02,296.68,2.49,2024-04-15 03:00:00
China,DJ Shanghai,416.86,418.38,408.72,4.87,1.18,2024-04-15 04:03:00
Hong Kong,Hang Seng,16600.46,16647.09,16465.4,-121.23,-0.72,2024-04-15 04:08:28
Taiwan,Taiwan Weighted,20736.57,20825.04,20713.87,-16.65,-0.08,
Thailand,SET,1396.38,1406.77,1394.71,-11.79,-0.84,
South Korea,KOSPI,2670.14,2673.26,2641.16,-11.68,-0.44,2024-04-15 02:30:30
Indonesia,IDX Composite,7286.88,7298.86,7239.27,32.48,0.45,
India,Nifty 50,22272.5,22427.45,22259.55,-246.9,-1.1,2024-04-15 06:02:23
India,BSE Sensex,73399.78,73905.8,73315.16,-845.12,-1.14,2024-04-15 06:01:57
Philippines,PSEi Composite,6562.43,6630.43,6556.93,-96.96,-1.46,2024-04-15 02:50:00
Pakistan,Karachi 100,70608.88,70608.88,69914.11,294.17,0.42,2024-04-15 07:15:00
Vietnam,VN 30,1227.9,1287.46,1227.9,-56.84,-4.42,2024-04-15 04:02:03
Sri Lanka,CSE All-Share,12006.2,12047.47,11931.22,-26.9,-0.22,2024-04-15 01:00:00
